文字	编码	拆分	分类	权重
𨒔	JsiL	矢辶	ExtB	100
䥩	JrLciTsHiPpXp	金彳山一几攵	ExtA	100
𨱖	JrLciTsHiPpXp	钅彳山一几攵	ExtB	100
鐙	JrLUdo	金癶豆	CJK	9955488
䂑	JsiLhUbi	矢止匕	ExtA	100
镫	JrLUdo	钅癶豆	CJK	9936972
𨨳	JrLUf	金夂缶	ExtB	100
𨮴	JrLUdoPp	金癶豆几	ExtB	100
𨧥	JrLhUbiVe	金止匕二	ExtB	100
𥎈	JmLUy	矛夂酉	ExtB	100
𨪯	JrLciVhLi	金彳䒑之	ExtB	100
𨥻	JrLXy	金又	ExtB	100
𨦏	JrLXy	金癶又	ExtB	100
𫐟	JyiL	弋辶	ExtC	100
𢏾	JgLhYi	弓止	ExtB	100
𪍫	JmLYjUm	矛夂巾麥	ExtB	100
錷	JrLcZ	金車乚	CJK	9000001
𢧞	JaLz	舟	ExtB	100
𨦞	JrLz	金舟	ExtB	100
矪	JsiLz	矢舟	CJK	9000001
矛	Jm	矛	CJK	9975004
⽭	Jm	矛	康熙部首	100
鍊	JrMuAkVb	金木囗丷	CJK	9971900
𫓇	JrMuAMuA	金木冂木冂	ExtC	100
𥎢	JmMuAMuMuWu	矛木冖木木灬	ExtB	100
𨦉	JrMuA	金木冂	ExtB	100
𥍲	JmMuARu	矛木冂入	ExtB	100
𫔀	JrMuAkVb	钅木囗丷	ExtC	100
鍊	JrMuAkVb	金木囗丷	兼容文字	100
錬	JrMuBo	金木日	CJK	9704148
𨩨	JrMuBoHi	金木日一	ExtB	100
𨫜	JrMuBoWi	金木日小	ExtB	100
𫝌	JMuCv	〢木	ExtD	100
鉥	JrMuD	金木丶	CJK	9000010
𨩔	JrMuDL	金木丶辶	ExtB	100
𬬸	JrMuD	钅木丶	ExtE	100
𣮪	JmMuEm	矛木毛	ExtB	100
𣟮	JmMuExVbL	矛木囟八夊	ExtB	100
鉢	JrMuHi	金木一	CJK	9000001
钵	JrMuHi	钅木一	CJK	9970464
𪹸	JrMuHiWu	金木一灬	ExtC	100
鶔	JmMuKi	矛木鳥	CJK	9000002
𫓞	JrMuMuIa	金木木㐭	ExtC	100
𨭣	JrMuMuL	金木木疋	ExtB	100
𨭺	JrMuMuQs	金木木示	ExtB	100
鋉	JrMuO	金木口	CJK	9000001
鏉	JrMuOEq	金木口欠	CJK	9992248
𨱒	JrMuOEq	钅木口欠	ExtB	9000001
𢐌	JgMuOJg	弓木口弓	ExtB	100
𩱖	JgMuOJgUli	弓木口弓鬲	ExtB	100
𩱫	JgMuOLJgUli	弓木口辶弓鬲	ExtB	100
𨫩	JrMuOL	金木口辶	ExtB	100
𨱈	JrMuO	钅木口	ExtB	9000001
𨧃	JrMuO	金木口	ExtB	100
𨫾	JrMuOXp	金木口攵	ExtB	100
𥎁	JmMuQbuO	矛木⺊口	ExtB	100
錸	JrMuRnRn	金木人人	CJK	9000001
𣠳	JmMuRTcVbIi	矛木⺈厂八言	ExtB	100
𨜙	JmMuTe	矛木阝	ExtB	100
𨧀	JrMuTu	金木土	ExtB	100
𬭊	JrMuTu	钅木土	ExtE	100
柔	JmMu	矛木	CJK	9990088
𣏩	JgeMu	戈木	ExtB	100
鈢	JrMu	金木	CJK	9000001
𪿈	JsiMu	矢木	ExtC	100
铼	JrMwVb	钅未丷	CJK	9870590
錰	JrMuWu	金木灬	CJK	9000001
鑻	JrMuXxMuNrFs	金木爻木大手	CJK	9976112
𨨦	JrMuXp	金木攵	ExtB	100
𠢢	JmMuYaFi	矛木幺力	ExtB	100
𨯁	JrMuZdPvL	金木龴⻍	ExtB	100
𨥼	JrMuZ	金木乚	ExtB	100
𥍳	JmMuZTu	矛木ヿ土	ExtB	100
斤	Jn	斤	CJK	9981542
	Jn	斤	私用区	1
⽄	Jn	斤	康熙部首	100
𢧿	JpNcARu	戊臣冂入	ExtB	100
鍲	JrNiBo	金民日	CJK	9000001
𦘌	JrNsBoEe	金氏日耳	ExtB	100
錉	JrNsBo	金氏日	CJK	9000005
𪟓	JdNzBoUbiUbi	刀子日匕	ExtC	100
䤶	JrNrBoZ	金大日乚	ExtA	100
臧	JaNc	臣	CJK	9940362
錛	JrNrCiCg	金大十廾	CJK	9000001
锛	JrNrCiCg	钅大十廾	CJK	9998764
弬	JgNc	弓	CJK	9935184
弫	JgNc	弓臣	CJK	9000001
𨦍	JrNc	金臣	ExtB	100
鈦	JrNrD	金大丶	CJK	9000013
弤	JgNsD	弓氏丶	CJK	9766146
𨨃	JrNzDh	金子且	ExtB	100
钛	JrNrD	钅大丶	CJK	9984024
𨨹	JrNrEe	金大耳	ExtB	100
𦗦	JrNsEe	金氏耳	ExtB	100
鈇	JrNf	金夫	CJK	9810384
𫓧	JrNf	钅夫	ExtC	9000001
鏆	JrNgGb	金毌貝	CJK	9938802
𨱌	JrNgGb	钅毌贝	ExtB	9000001
錡	JrNrHo	金大可	CJK	9804220
𫓛	JrNrHiBaHiBa	金大一白一白	ExtC	100
𨦌	JrNrHiJd	金大一	ExtB	100
锜	JrNrHo	钅大可	CJK	9982952
𥏜	JsiNrHo	矢大可	ExtB	100
鈱	JrNi	金民	CJK	9000004
㢯	JgNi	弓民	ExtA	100
銕	JrNrJg	金大弓	CJK	9000005
𨦘	JrNrJg	金大弓	ExtB	100
𨮯	JrNrJgeOGr	金大戈口	ExtB	100
𩱆	JgNvJgUli	弓女弓鬲	ExtB	100
𨫦	JrNrKyPd	金大丸	ExtB	100
𥏣	JsiNrKy	矢大	ExtB	100
𫟼	JrNrL	钅大辶	ExtD	100
鉧	JrNm	金母	CJK	9310104
𬭁	JrNm	钅母	ExtE	100
𥎳	JsiNm	矢母	ExtB	100
𨨓	JrNvMw	金女未	ExtB	100
鐟	JrNfNfBo	金夫夫曰	CJK	9797854
𨰀	JrNfNfALc	金夫夫冖車	ExtB	100
鑚	JrNfNfGb	金夫夫貝	CJK	9000001
𥎞	JmNfNfGb	矛夫夫貝	ExtB	100
𨯉	JrNfNfLc	金夫夫車	ExtB	100
鏤	JrNmOSNv	金口丨女	CJK	9000002
𦘉	JrNsOEe	金氏口耳	ExtB	100
𢤌	JrNsOQi	金氏口心	ExtB	100
銣	JrNvO	金女口	CJK	9000001
銽	JrNsO	金氏口	CJK	9000001
铷	JrNvO	钅女口	CJK	9909696
𨯃	JrNmOSNvXp	金口丨女攵	ExtB	100
錼	JrNrQs	金大示	CJK	9000001
𡒥	JaNcQbuHi	臣⺊一	ExtB	100
𨯿	JrNcQHiJr	金臣一金	ExtB	100
鋏	JrNrRnRn	金大人人	CJK	9000001
𢎴	JgNr	弓大	ExtB	100
𨰶	JrNcRGaJr	金臣⺈田金	ExtB	100
釱	JrNr	金大	CJK	9771760
𨥌	JrNs	金氏	ExtB	100
鍷	JrNrTuTu	金大土土	CJK	9000001
𡒉	JaNcTu	臣土	ExtB	100
錳	JrNzUm	金子皿	CJK	9000001
𨰲	JrNcUzuAsEr	金臣罒見	ExtB	100
𨰹	JrNcUzuAsJr	金臣罒金	ExtB	100
鑬	JrNcUzuEr	金臣見	CJK	9000003
锰	JrNzUm	钅子皿	CJK	9985478
鑑	JrNcUzuUm	金臣皿	CJK	9000038
鐐	JrNrVbBoWi	金大丷日小	CJK	9972584
铗	JrNfVb	钅夫丷	CJK	9790374
𨦇	JrNfVb	金夫丷	ExtB	100
镣	JrNrVbBoWi	钅大丷日小	CJK	9934134
𨭼	JrNrVbBoWu	金大丷日火	ExtB	100
𢨑	JaNcVe	臣二	ExtB	100
𥏢	JsiNrVbJg	矢大丷干	ExtB	100
𡛺	JmNv	矛女	ExtB	100
釹	JrNv	金女	CJK	9000001
钕	JrNv	钅女	CJK	9879252
𫒈	JrNv	金女	ExtC	100
𨭁	JrNrVbRnSv	金大丷人氺	ExtB	100
𨨆	JrNrVbVeZ	金大丷二ㄅ	ExtB	100
𥏤	JsiNrVbVeZ	矢大丷二ㄅ	ExtB	100
銙	JrNrVeZ	金大二ㄅ	CJK	9704150
鏗	JrNcXyTu	金臣又土	CJK	9000001
鑦	JrNcXyGb	金臣又貝	CJK	100
鏯	JrNrXxXx	金大爻爻	CJK	9746054
𨨘	JrNcXy	金臣又	ExtB	100
𡙼	JdNrYv	刀大㡀	ExtB	100
釨	JrNz	金子	CJK	9000001
𫓦	JrNz	钅子	ExtC	100
知	JsiO	矢口	CJK	9998950
锅	JrOARn	钅口冂人	CJK	9993370
𠕧	JsiOAO	矢口冂口	ExtB	100
智	JsiOBo	矢口日	CJK	9994852
𥏯	JsiOBoCi	矢口日十	ExtB	100
䚐	JsiOBoEr	矢口日見	ExtA	100
𥏼	JsiOBaVeZ	矢口白二ㄅ	ExtB	100
𥏴	JsiOChVeZ	矢口廿二ㄅ	ExtB	100
召	JdO	刀口	CJK	9990030
鋗	JrODv	金口⺝	CJK	9000020
弲	JgODv	弓口⺝	CJK	9000001
𪿇	JmODv	矛口⺝	ExtC	100
𫓶	JrODv	钅口⺝	ExtC	100
鍓	JrOEe	金口耳	CJK	9977496
聟	JsiOEe	矢口耳	CJK	9000002
𣬸	JdOEm	刀口毛	ExtB	100
㲛	JsiOEm	矢口毛	ExtA	100
欩	JdOEq	刀口欠	CJK	9000001
䙼	JdOEr	刀口見	ExtA	100
𧡐	JsiOEr	矢口見	ExtB	100
䎄	JdOEv	刀口羽	ExtA	100
劭	JdOFi	刀口力	CJK	9854684
䤢	JrOFi	金口力	ExtA	100
𨧢	JrOFiJd	金口力刂	ExtB	100
𡀪	JdOFsQv	刀口扌非	ExtB	100
𤉎	JdOFiWu	刀口力火	ExtB	100
𦀧	JdOFiYs	刀口力糸	ExtB	100
鋥	JrOGw	金口王	CJK	9000001
戓	JgeO	戈口	CJK	9000001
𪪺	JgO	弓口	ExtC	100
䝷	JsiOGb	矢口貝	ExtA	100
戜	JgeOGw	戈口王	CJK	9980092
锃	JrOGw	钅口王	CJK	9837436
或	JgeOHi	戈口一	CJK	9999866
𢧋	JgeOHiBo	戈口一日	ExtB	100
𧤅	JgeOHiEj	戈口一角	ExtB	100
𥇙	JgeOHiEmu	戈口一目	ExtB	100
㰲	JgeOHiEq	戈口一欠	ExtA	100
𦑍	JgeOHiEv	戈口一羽	ExtB	100
𣉻	JsiOHiFBo	矢口一日	ExtB	100
𧐉	JsiOHiFKc	矢口一虫	ExtB	100
䵹	JsiOHiFKm	矢口一黾	ExtA	100
𥎿	JsiOHiF	矢口一	ExtB	100
𨢮	JsiOHiFUy	矢口一酉	ExtB	100
𢧌	JgeOHiGr	戈口一	ExtB	100
𤦂	JgeOHiGv	戈口一玉	ExtB	100
𤦒	JgeOHiGw	戈口一王	ExtB	100
𠯉	JdOHi	刀口一	ExtB	100
𠜻	JgeOHiJd	戈口一刂	ExtB	100
𧥑	JgeOHiJgeOHiEj	戈口一戈口一角	ExtB	100
𣀾	JgeOHiJgeOHiEjXp	戈口一戈口一角攴	ExtB	100
𢨋	JgeOHiJgeOHi	戈口一戈口一	ExtB	100
𤒓	JgeOHiJgeOHiWu	戈口一戈口一火	ExtB	100
𤒜	JgeOHiJgeOHiWu	戈口一戈口一灬	ExtB	100
𤒉	JgeOHiJgeOHiWu	戈口一戈口一灬	ExtB	100
𣀨	JgeOHiJgeOHiXp	戈口一戈口一攴	ExtB	100
𧌒	JgeOHiKc	戈口一虫	ExtB	100
𪂉	JgeOHiKi	戈口一鳥	ExtB	100
𪂵	JgeOHiKi	戈口一鳥	ExtB	100
鋘	JrOHiNr	金口一大	CJK	9411220
𣤐	JgeOHiOEq	戈口一口欠	ExtB	100
惑	JgeOHiQi	戈口一心	CJK	9949890
䰥	JgeOHiQg	戈口一鬼	ExtA	100
𣀪	JgeOHiQiTdXp	戈口一忄㠯攴	ExtB	100
𡿿	JgeOHiSp	戈口一巛	ExtB	100
㳼	JgeOHiSv	戈口一水	ExtA	100
𡌳	JgeOHiTu	戈口一土	ExtB	100
𤉨	JgeOHiWu	戈口一火	ExtB	100
𤉹	JgeOHiWu	戈口一火	ExtB	100
彧	JgeOHiY	戈口一彡	CJK	9971012
𣤁	JgeOHiYEq	戈口一彡欠	ExtB	100
𢒖	JgeOHiY	戈口一彡	ExtB	100
𧫊	JgeOHiYIi	戈口一彡言	ExtB	100
𢃤	JgeOHiYj	戈口一巾	ExtB	100
𢞿	JgeOHiYQi	戈口一彡心	ExtB	100
𥍣	JmOHiZ	矛口一ㄅ	ExtB	100
𨪒	JrOHiZOHiZ	金口一ㄅ口一ㄅ	ExtB	100
刟	JdOJd	刀口刂	CJK	9000001
𥏾	JsiOJnHiVeZ	矢口一二ㄅ	ExtB	100
强	JgOKc	弓口虫	CJK	9999150
𧌲	JsiOKc	矢口虫	ExtB	100
𣩴	JgOKcEdUbi	弓口虫歹匕	ExtB	100
勥	JgOKcFi	弓口虫力	CJK	9000001
謽	JgOKcIi	弓口虫言	CJK	9000002
䳂	JdOKi	刀口鳥	ExtA	100
䥒	JgOKcJr	弓口虫金	ExtA	100
犟	JgOKcKu	弓口虫牛	CJK	9925754
鼅	JsiOKm	矢口黽	CJK	9000001
鼅	JsiOKm	矢口黽	兼容增补	100
迢	JdOL	刀口辶	CJK	9772104
𨔓	JsiOL	矢口辶	ExtB	100
𣔇	JsiOMu	矢口木	ExtB	100
𠯓	JnO	斤口	ExtB	100
𨦚	JrONr	金口大	ExtB	100
𨢱	JsiONzUy	矢口子酉	ExtB	100
彈	JgOOGaCi	弓口口田十	CJK	9929856
𨫰	JrOOANr	金口口冂大	ExtB	100
𪿍	JsiOOFiJd	矢口口力刂	ExtC	100
𨭐	JrOOGaCi	金口口田十	ExtB	100
𢐆	JgOOJg	弓口口弓	ExtB	100
𨫘	JrOOJgU	金口口干凵	ExtB	100
𫓟	JrOOKma	金口口馬	ExtC	100
鐰	JrOOOMu	金口口口木	CJK	9000003
𡂤	JgOOOORnZ	干口口口口人㇗	ExtB	100
𨩗	JrOOO	金口口口	ExtB	100
𨬱	JrOOOVeZ	金口口口二ㄅ	ExtB	100
鋁	JrOO	金口口	CJK	9746060
铝	JrOO	钅口口	CJK	9984312
鋛	JrOOS	金口口丨	CJK	9000001
𨭳	JrOOSAHiO	金口口丨冂一口	ExtB	100
𨫑	JrOOSQi	金口口丨心	ExtB	100
𨰫	JrOOTcFgEeXp	金口口厂工耳攵	ExtB	100
鍔	JrOOVeZ	金口口二ㄅ	CJK	9987452
锷	JrOOVeZ	钅口口二ㄅ	CJK	9887664
𠣫	JdOPo	刀口句	ExtB	100
鑓	JrOQTdL	金口丄㠯辶	CJK	9000001
𠧙	JdOQbu	刀口卜	ExtB	100
鐀	JrOQGb	金口丄貝	CJK	9000005
𨯯	JrOQGbL	金口丄貝辶	ExtB	100
𢜔	JsiOQi	矢口心	ExtB	100
釦	JrO	金口	CJK	9746064
𥏧	JsiORnTu	矢口人土	ExtB	100
钟	JrOS	钅口丨	CJK	9995128
𨨩	JrOSQi	金口丨心	ExtB	100
鈡	JrOS	金口丨	CJK	9000001
邵	JdOTe	刀口阝	CJK	9948832
𪹃	JdOTeWu	刀口阝火	ExtC	100
綤	JdOTeYs	刀口阝糸	CJK	9000001
𢇊	JdOTeYaS	刀口阝幺丨	ExtB	100
𫒐	JrOUbi	金口匕	ExtC	100
𥁏	JdOUm	刀口皿	ExtB	100
𨢰	JsiOUyVeZ	矢口酉二ㄅ	ExtB	100
𨐓	JdOUx	刀口辛	ExtB	100
䣽	JsiOUy	矢口酉	ExtA	100
鉙	JrOVb	金口八	CJK	9949954
𣪶	JsiOVeZJx	矢口二ㄅ殳	ExtB	100
𪅩	JsiOVeZKi	矢口二ㄅ鳥	ExtB	100
𥏃	JsiOVeZ	矢口二ㄅ	ExtB	100
𨝐	JsiOVeZTe	矢口二ㄅ阝	ExtB	100
𠬙	JsiOVeZUl	矢口二ㄅ兩	ExtB	100
𢿈	JsiOVeZXp	矢口二ㄅ攴	ExtB	100
𡆊	JdOWaBw	刀口黑	ExtB	100
𪹑	JdOWuWu	刀口火火	ExtC	100
𩅖	JdOWsYaNr	刀口⻗幺大	ExtB	100
鉂	JrOX	金口	CJK	9000003
𠺥	JdOXzAXy	刀口爫冖又	ExtB	100
𪪾	JgOXp	弓口攴	ExtC	100
銱	JrOYj	金口巾	CJK	9000001
铞	JrOYj	钅口巾	CJK	9703996
卲	JdOZi	刀口卩	CJK	9000001
鋘	JrOZNr	金口㇞大	兼容增补	100
巶	JdOZsi	刀口巳	CJK	9873580
𨦀	JrOZs	金口丩	ExtB	100
㐒	JdOZyi	刀口乙	ExtA	100
鍾	JrPqGaTu	金千田土	CJK	9790406
銄	JrPAO	金丿冂口	CJK	9000001
𣂝	JnPAO	斤丿冂口	ExtB	100
鐭	JrPAUiNr	金丿冂米大	CJK	9973188
𨮁	JrPAkUiHiZ	金丿囗米一ㄅ	ExtB	100
鎫	JrPAXVbL	金丿冂㐅八夊	CJK	9000003
鑂	JrPqBw	金千黑	CJK	9000001
銁	JrPkBo	金勹日	CJK	9000001
𫓲	JrPkBo	钅勹日	ExtC	100
錘	JrPqCTi	金千艹士	CJK	9969662
𢐺	JgPqCHiUPkGsiJg	弓千艹一凵勹厶弓	ExtB	100
𨪸	JrPqCHiU	金千艹一凵	ExtB	100
𢐨	JgPkCPkCJg	弓勹勹弓	ExtB	100
𩱦	JgPkCPkCJgUli	弓勹勹弓鬲	ExtB	100
𤑵	JgPkCPkCJgWu	弓勹勹弓火	ExtB	100
𨪕	JrPkCPkC	金勹勹	ExtB	100
锤	JrPqCTi	钅千艹士	CJK	9979732
𢏴	JgPqCTi	弓千艹士	ExtB	100
釣	JrPkD	金勹丶	CJK	9000002
𢎫	JgPd	弓丸	ExtB	100
㢩	JgPkD	弓勹丶	ExtA	100
𢦗	JgePd	戈丸	ExtB	100
𢦚	JgePd	戈	ExtB	100
䂆	JmPkD	矛勹丶	ExtA	100
釩	JrPd	金凡	CJK	9000001
钓	JrPkD	钅勹丶	CJK	9971718
钒	JrPd	钅凡	CJK	9973116
釻	JrPd	金丸	CJK	100
鋨	JrPFsJge	金丿扌	CJK	9000001
锇	JrPFsJge	钅丿扌	CJK	9901568
鈎	JrPkGsi	金勹厶	CJK	9000001
𢦍	JgeP	戈丿	ExtB	100
𪭎	JgePGa	戈丿田	ExtC	100
钩	JrPkGsi	钅勹厶	CJK	9989606
锺	JrPqGaTu	钅千田土	CJK	9975720
𥍽	JmPqGaTu	矛千田土	ExtB	100
𥏱	JsiPqGaTu	矢千田土	ExtB	100
𨦨	JrPpHiYj	金⺇一巾	ExtB	100
䤜	JrPHz	金丿七	ExtA	100
𫒇	JrPHz	金丿七	ExtC	100
鍧	JrPkIi	金勹言	CJK	9964950
鎦	JrPJdGa	金刀田	CJK	9000001
镏	JrPJdGa	钅刀田	CJK	9963612
𢎩	JgPj	弓九	ExtB	100
𨮸	JrPJdJrJd	金刀金刂	ExtB	100
𢏳	JgPJgPJg	弓丿丿干	ExtB	100
鉼	JrPJgPJg	金丿丿干	兼容增补	100
釚	JrPj	金九	CJK	9310116
𫟲	JrPj	钅九	ExtD	100
𨭷	JrPpKi	金几鳥	ExtB	100
鋋	JrPLhL	金丿止廴	CJK	9000148
𨥧	JrPLi	金丿之	ExtB	100
銖	JrPMw	金丿未	CJK	9000002
䤪	JrPpMu	金几木	ExtA	100
铢	JrPMw	钅丿未	CJK	9931504
矯	JsiPNrOAO	矢丿大口冂口	CJK	9000042
𨪻	JrPNrCiCg	金丿大十廾	ExtB	100
鉄	JrPNf	金丿夫	CJK	9000007
铁	JrPNf	钅丿夫	CJK	9998096
矫	JsiPNrJ	矢丿大	CJK	9961618
𫓱	JrPNrJ	钅丿大	ExtC	100
鐈	JrPNrOAO	金丿大口冂口	CJK	9000003
𢐟	JgPNrOAO	弓丿大口冂口	ExtB	100
𨙍	JsiPNrOAOL	矢丿大口冂口辶	ExtB	100
𨧐	JrPNrO	金丿大口	ExtB	100
矨	JsiPNr	矢丿大	CJK	9000004
𨥜	JrPNr	金丿大	ExtB	100
鉤	JrPo	金句	CJK	9771756
𫒳	JrPOLa	金丿口⽱	ExtC	100
鉛	JrPpO	金几口	CJK	9000001
铅	JrPpO	钅几口	CJK	9990780
𢎅	JyiPo	弋句	ExtB	100
釠	JrPp	金几	CJK	9000007
𢎪	JgPp	弓几	ExtB	100
𢦕	JgePPp	戈丿几	ExtB	100
釺	JrPq	金千	CJK	9000001
钎	JrPq	钅千	CJK	9887682
𨭇	JrPRnRnRnRnTu	金丿人人人人土	ExtB	100
𨪺	JrPqRnRnTs	金千人人山	ExtB	100
鈞	JrPkSb	金勹冫	CJK	9000001
钧	JrPkSb	钅勹冫	CJK	9978278
憌	JrPkSbQi	金勹冫心	CJK	9000001
銩	JrPTuGsi	金丿土厶	CJK	9000001
铥	JrPTuGsi	钅丿土厶	CJK	9771684
鍤	JrPqUj	金千臼	CJK	9857804
鋾	JrPkUf	金勹缶	CJK	9000009
𨨠	JrPkUi	金勹米	ExtB	100
锸	JrPqUj	钅千臼	CJK	9898818
𥁘	JgePUm	戈丿皿	ExtB	100
𨪰	JrPqUvVe	金千北二	ExtB	100
𨧰	JrPqUv	金千北	ExtB	100
𫟽	JrPqUv	钅千北	ExtD	100
𤰄	JdPv	刀用	ExtB	100
䤣	JrPVbF	金丿丷	ExtA	100
𢦨	JgePv	戈用	ExtB	100
𨥩	JrPpVeS	金几二丨	ExtB	100
铄	JrPWi	钅小	CJK	9864756
鈒	JrPx	金及	CJK	9797858
𢎽	JgPx	弓及	ExtB	100
钑	JrPx	钅及	CJK	9964642
𨥸	JrPkXZ	金勹乂㇗	ExtB	100
鍃	JrPkYQi	金勹心	CJK	9000001
鍯	JrPkYDQi	金勹丶心	CJK	9000001
𥍷	JmPkYDQi	矛勹丶心	ExtB	100
𢦠	JgePkY	戈勹	ExtB	100
𢐐	JgPYsJg	弓丿糸弓	ExtB	100
𣱏	JmPkYNs	矛勹氏	ExtB	100
锪	JrPkYQi	钅勹心	CJK	9855306
䥼	JrPkY	钅勹	ExtA	100
𫒠	JrPYs	金丿糸	ExtC	100
鉚	JrPZi	金卩	CJK	9000001
𥏵	JsiPZiGa	矢卩田	ExtB	100
𨮃	JrPZiHiWh	金卩一	ExtB	100
铆	JrPZi	钅卩	CJK	9888944
䤝	JrPZi	金卩	ExtA	100
𨧞	JrPZiL	金卩廴	ExtB	100
鉋	JrPkZsi	金勹巳	CJK	9000001
铇	JrPkZsi	钅勹巳	CJK	9309704
忒	JyiQi	弋心	CJK	9978528
𨬴	JrQbuACvEmu	金⺊冖目	ExtB	100
釙	JrQbu	金卜	CJK	9000011
鋽	JrQbuBoCi	金⺊日十	CJK	9728660
𥏥	JsiQbuBoCi	矢⺊日十	ExtB	100
𢎨	JgQbu	弓	ExtB	100
𠂔	JgQbu	弓	ExtB	100
𠝗	JdQiBoHi	刀忄日一	ExtB	100
𥏻	JsiQBoHiPkY	矢日一勹	ExtB	100
鍑	JrQBoL	金日夊	CJK	9990954
钋	JrQbu	钅卜	CJK	9916862
𨮧	JrQCxiHiLv	金卌一舛	ExtB	100
𢦩	JpQCi	戊十	ExtB	100
𫒍	JrQCi	金十	ExtC	100
鎺	JrQsDh	金礻且	CJK	9973948
䙻	JgQbuEr	弓見	ExtA	100
䪠	JgQbuEqUh	弓欠韭	ExtA	100
鍞	JrQbuGb	金⺊貝	CJK	9919540
𢧩	JgeQg	戈鬼	ExtB	100
𨪈	JrQg	金鬼	ExtB	100
𩲶	JsiQg	矢鬼	ExtB	100
慼	JpQbuHiWiQi	戊⺊一小心	CJK	9000001
𫒆	JrQbuHi	金⺊一	ExtC	100
𨫝	JrQHiKz	金一隹	ExtB	100
𨨶	JrQHiLhZi	金一止卩	ExtB	100
鉲	JrQbuHiQbu	金⺊一卜	CJK	9771754
戚	JpQbuHiWi	戊⺊一小	CJK	9967056
㞝	JpQbuHiWiEsi	戊⺊一小尸	ExtA	100
顣	JpQbuHiWiEye	戊⺊一小頁	CJK	9968654
𫖹	JpQbuHiWiEye	戊⺊一小页	ExtC	100
𧐶	JpQbuHiWiKc	戊⺊一小虫	ExtB	100
蹙	JpQbuHiWiLo	戊⺊一小足	CJK	9968182
𩖑	JpQbuHiWiLoEye	戊⺊一小足頁	ExtB	100
㗤	JpQbuHiWiO	戊⺊一小口	ExtA	100
𨧷	JrQbuHiWiXy	金⺊一小又	ExtB	100
𦄉	JpQbuHiWiYs	戊⺊一小糸	ExtB	100
鈊	JrQi	金心	CJK	9000001
𢖫	JdQi	刀心	ExtB	100
𢘅	JmQi	矛心	ExtB	100
𢗹	JnQi	斤心	ExtB	100
𢘱	JpQi	戊心	ExtB	100
𨰋	JrQsIaUdo	金礻曲豆	ExtB	100
𢖼	JyiQi	弋心	ExtB	100
𠛔	JgQbuJd	弓刂	ExtB	100
𤝮	JgQbuKq	弓犬	ExtB	100
𨒉	JgQbuL	弓辶	ExtB	100
𫒡	JrQL	金疋	ExtC	100
𨦧	JrQL	金	ExtB	100
𫓷	JrQL	钅疋	ExtC	100
鋂	JrQNm	金母	CJK	9000005
𢑍	JgQNmJgJgHiOGaJg	弓母弓弓一口田弓	ExtB	100
𩱟	JgQNmJgUli	弓母弓鬲	ExtB	100
𢑎	JgQNmWvSpJgHiOGaJg	弓母弓一口田弓	ExtB	100
𩱱	JgQNmWvSpJgUli	弓母弓鬲	ExtB	100
鉆	JrQbuO	金⺊口	CJK	9000001
𨫙	JrQOOL	金口口夊	ExtB	100
钻	JrQbuO	钅⺊口	CJK	9992948
𨦸	JrQbuORe	金⺊口儿	ExtB	100
鉍	JrQiP	金心丿	CJK	9000001
𨥵	JrQbuPd	金⺊凡	ExtB	100
铋	JrQiP	钅心丿	CJK	9934704
鈼	JrQQ	金	CJK	9000002
𨭍	JrQvQi	金非心	ExtB	100
䪡	JgQbuSbEqUh	弓冫欠韭	ExtA	100
䪢	JgQbuSbEqUh	弓冫欠韭	ExtA	100
𫀄	JpQs	戊示	ExtC	100
𨥮	JrQs	金示	ExtB	100
𨭲	JrQbuTcBoCp	金⺊厂日生	ExtB	100
𨨤	JrQiTuGsi	金忄土厶	ExtB	100
𥁜	JgQbuUm	弓皿	ExtB	100
䤵	JrQv	金非	ExtA	100
𨩼	JrQbuXjiLh	金⺊龰	ExtB	100
𢚫	JgQbuXyQi	弓又心	ExtB	100
𩐈	JgQbuXpUh	弓攵韭	ExtB	100
鉓	JrQYj	金巾	CJK	9000001
鉇	JrQYe	金也	CJK	9000001
㢮	JgQYe	弓也	ExtA	100
𥍢	JmQYe	矛也	ExtB	100
㢳	JgQYi	弓	ExtA	100
𥍦	JmQYj	矛巾	ExtB	100
釳	JrQZyi	金乙	CJK	9000020
𨦂	JrQsZ	金礻乚	ExtB	100
𫓳	JrQsZ	钅礻乚	ExtC	100
𢏍	JgQbuZsi	弓⺊巳	ExtB	100
𨰿	JrQZyi	钅乙	ExtB	9000001
𠚮	JdQZyi	刀乙	ExtB	100
金	Jr	金	CJK	9998972
釒	Jr	金	CJK	9000001
钅	Jr	金	CJK	9857802
	Jr	金	私用区	1
⻐	Jr	金	部首补充	100
⾦	Jr	金	康熙部首	100
𨤾	Jr	金	ExtB	100
𨥀	Jr	金	ExtB	100
金	Jr	金	兼容文字	100
鎗	JrRnAhuO	金人口	CJK	9790404
𨩉	JrRAvNr	金⺈大	ExtB	100
𥎄	JmRnAhuO	矛人口	ExtB	100
𥏲	JsiRnAhuO	矢人口	ExtB	100
𥎠	JmRAsPkKc	矛⺈罒勹虫	ExtB	100
𨭗	JrRjAkWiBo	金亼囗⺌曰	ExtB	100
𨧝	JrRnBoHi	金亻日一	ExtB	100
𨫖	JrRnBoHiPkY	金亻日一勹	ExtB	100
𨥞	JrRnCi	金人十	ExtB	100
